epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.927086,,,,,,,start
1,train,0.948137,,,,,,,
2,train,0.686465,,,,,,,
3,train,0.582516,,,,,,,
4,train,0.839949,,,,,,,
5,train,0.873585,,,,,,,
6,train,1.005810,,,,,,,
7,train,0.821789,,,,,,,
8,train,0.481638,,,,,,,
9,train,0.569080,,,,,,,
10,train,0.833668,,,,,,,
11,train,0.742229,,,,,,,
12,train,0.578713,,,,,,,
13,train,0.582412,,,,,,,
14,train,0.533629,,,,,,,
15,train,0.427958,,,,,,,
16,train,0.591589,,,,,,,
17,train,0.598715,,,,,,,
18,train,0.437901,,,,,,,
19,train,0.678972,,,,,,,
19,eval,,0.0003,0.9995,0.0002,0.0000,0.0000,0.7995,
20,train,1.151152,,,,,,,
21,train,0.677894,,,,,,,
22,train,0.456258,,,,,,,
23,train,0.463690,,,,,,,
24,train,0.471073,,,,,,,
25,train,0.600111,,,,,,,
26,train,0.415740,,,,,,,
27,train,0.573392,,,,,,,
28,train,0.489684,,,,,,,
29,train,0.398723,,,,,,,
30,train,0.427912,,,,,,,
31,train,0.537572,,,,,,,
32,train,0.525975,,,,,,,
33,train,0.519322,,,,,,,
34,train,0.594730,,,,,,,
35,train,0.563163,,,,,,,
36,train,0.512137,,,,,,,
37,train,0.457750,,,,,,,
38,train,0.469370,,,,,,,
39,train,0.407102,,,,,,,
39,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
40,train,0.448439,,,,,,,
41,train,0.477197,,,,,,,
42,train,0.515329,,,,,,,
43,train,0.518690,,,,,,,
44,train,0.593409,,,,,,,
45,train,0.480501,,,,,,,
46,train,0.479310,,,,,,,
47,train,0.393271,,,,,,,
48,train,0.472916,,,,,,,
49,train,0.519058,,,,,,,
50,train,1.278742,,,,,,,
51,train,0.817108,,,,,,,
52,train,0.465584,,,,,,,
53,train,0.747673,,,,,,,
54,train,1.214984,,,,,,,
55,train,1.215177,,,,,,,
56,train,0.673445,,,,,,,
57,train,0.461042,,,,,,,
58,train,0.892683,,,,,,,
59,train,0.782517,,,,,,,
59,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
60,train,0.479984,,,,,,,
61,train,0.902267,,,,,,,
62,train,1.061960,,,,,,,
63,train,0.847608,,,,,,,
64,train,0.571424,,,,,,,
65,train,0.681409,,,,,,,
66,train,1.022330,,,,,,,
67,train,1.001238,,,,,,,
68,train,0.476681,,,,,,,
69,train,0.486692,,,,,,,
70,train,0.846602,,,,,,,
71,train,0.853815,,,,,,,
72,train,0.506446,,,,,,,
73,train,0.467377,,,,,,,
74,train,0.547799,,,,,,,
75,train,0.519393,,,,,,,
76,train,0.623478,,,,,,,
77,train,0.448341,,,,,,,
78,train,0.382860,,,,,,,
79,train,0.439693,,,,,,,
79,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
80,train,0.389204,,,,,,,
81,train,0.401251,,,,,,,
82,train,0.419930,,,,,,,
83,train,0.354829,,,,,,,
84,train,0.543916,,,,,,,
85,train,0.477166,,,,,,,
86,train,3.776168,,,,,,,
87,train,0.585861,,,,,,,
88,train,0.586583,,,,,,,
89,train,0.405050,,,,,,,
90,train,0.560589,,,,,,,
91,train,0.723435,,,,,,,
92,train,0.666334,,,,,,,
93,train,0.356241,,,,,,,
94,train,0.406109,,,,,,,
95,train,0.407299,,,,,,,
96,train,0.440536,,,,,,,
97,train,0.467771,,,,,,,
98,train,0.529181,,,,,,,
99,train,0.355887,,,,,,,
99,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
100,train,0.413328,,,,,,,
101,train,0.437338,,,,,,,
102,train,0.398555,,,,,,,
103,train,0.316083,,,,,,,
104,train,0.334463,,,,,,,
105,train,0.558758,,,,,,,
106,train,0.556555,,,,,,,
107,train,0.500610,,,,,,,
108,train,0.411734,,,,,,,
109,train,0.360290,,,,,,,
110,train,0.354255,,,,,,,
111,train,0.362649,,,,,,,
112,train,0.332227,,,,,,,
113,train,0.375162,,,,,,,
114,train,0.487355,,,,,,,
115,train,0.469963,,,,,,,
116,train,0.395443,,,,,,,
117,train,0.417499,,,,,,,
118,train,0.372584,,,,,,,
119,train,0.282966,,,,,,,
119,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
120,train,0.383887,,,,,,,
121,train,0.370909,,,,,,,
122,train,0.304512,,,,,,,
123,train,0.385007,,,,,,,
124,train,0.327905,,,,,,,
125,train,0.436893,,,,,,,
126,train,0.381651,,,,,,,
127,train,0.490782,,,,,,,
128,train,0.345325,,,,,,,
129,train,0.402925,,,,,,,
130,train,0.447126,,,,,,,
131,train,0.365195,,,,,,,
132,train,0.468668,,,,,,,
133,train,0.372061,,,,,,,
134,train,0.364112,,,,,,,
135,train,0.440666,,,,,,,
136,train,0.625226,,,,,,,
137,train,0.521381,,,,,,,
138,train,0.484020,,,,,,,
139,train,0.531403,,,,,,,
139,eval,,0.0001,0.9998,0.0000,0.0001,0.0000,0.7998,
140,train,0.416319,,,,,,,
141,train,0.478584,,,,,,,
142,train,0.481009,,,,,,,
143,train,0.300216,,,,,,,
144,train,0.336838,,,,,,,
145,train,0.386876,,,,,,,
146,train,0.291557,,,,,,,
147,train,0.468689,,,,,,,
148,train,0.493946,,,,,,,
149,train,0.366745,,,,,,,
150,train,0.429608,,,,,,,
151,train,0.390077,,,,,,,
152,train,0.375003,,,,,,,
153,train,0.361103,,,,,,,
154,train,0.454113,,,,,,,
155,train,0.387652,,,,,,,
156,train,0.297882,,,,,,,
157,train,0.428657,,,,,,,
158,train,0.342744,,,,,,,
159,train,0.344350,,,,,,,
159,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
160,train,0.318320,,,,,,,
161,train,0.397967,,,,,,,
162,train,0.416041,,,,,,,
163,train,0.360754,,,,,,,
164,train,0.366543,,,,,,,
165,train,0.522089,,,,,,,
166,train,0.380045,,,,,,,
167,train,0.405394,,,,,,,
168,train,0.389375,,,,,,,
169,train,0.419006,,,,,,,
170,train,0.360718,,,,,,,
171,train,0.351777,,,,,,,
172,train,0.380867,,,,,,,
173,train,0.343334,,,,,,,
174,train,0.384381,,,,,,,
175,train,0.454515,,,,,,,
176,train,0.423426,,,,,,,
177,train,0.405927,,,,,,,
178,train,0.364708,,,,,,,
179,train,0.357526,,,,,,,
179,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
180,train,0.364018,,,,,,,
181,train,0.396258,,,,,,,
182,train,0.435539,,,,,,,
183,train,0.381246,,,,,,,
184,train,0.389929,,,,,,,
185,train,0.429376,,,,,,,
186,train,0.424399,,,,,,,
187,train,0.364669,,,,,,,
188,train,0.322581,,,,,,,
189,train,0.388971,,,,,,,
190,train,0.351585,,,,,,,
191,train,0.486008,,,,,,,
192,train,0.463167,,,,,,,
193,train,0.340819,,,,,,,
194,train,0.353536,,,,,,,
195,train,0.440229,,,,,,,
196,train,0.438363,,,,,,,
197,train,0.438615,,,,,,,
198,train,0.512869,,,,,,,
199,train,0.402789,,,,,,,
199,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
200,train,0.326731,,,,,,,
201,train,0.344530,,,,,,,
202,train,0.303533,,,,,,,
203,train,0.341050,,,,,,,
204,train,0.519073,,,,,,,
205,train,0.351110,,,,,,,
206,train,0.437310,,,,,,,
207,train,0.429520,,,,,,,
208,train,0.315454,,,,,,,
209,train,0.400499,,,,,,,
210,train,0.439149,,,,,,,
211,train,0.393347,,,,,,,
212,train,0.379338,,,,,,,
213,train,0.440644,,,,,,,
214,train,0.403578,,,,,,,
215,train,0.386353,,,,,,,
216,train,0.335126,,,,,,,
217,train,0.345847,,,,,,,
218,train,5.481022,,,,,,,
219,train,0.370182,,,,,,,
219,eval,,0.0000,0.9999,0.0000,0.0000,0.0001,0.7999,
220,train,0.492752,,,,,,,
221,train,0.638092,,,,,,,
222,train,0.501191,,,,,,,
223,train,0.330543,,,,,,,
224,train,0.439275,,,,,,,
225,train,0.363453,,,,,,,
226,train,0.321188,,,,,,,
227,train,0.342933,,,,,,,
228,train,0.367192,,,,,,,
229,train,0.376237,,,,,,,
230,train,0.345224,,,,,,,
231,train,0.431080,,,,,,,
232,train,0.352335,,,,,,,
233,train,0.417653,,,,,,,
234,train,0.411121,,,,,,,
235,train,0.333002,,,,,,,
236,train,0.370483,,,,,,,
237,train,0.453607,,,,,,,
238,train,0.282991,,,,,,,
239,train,0.687511,,,,,,,
239,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
240,train,0.638169,,,,,,,
241,train,0.481861,,,,,,,
242,train,0.311244,,,,,,,
243,train,0.358889,,,,,,,
244,train,0.343824,,,,,,,
245,train,0.373800,,,,,,,
246,train,0.537597,,,,,,,
247,train,0.472276,,,,,,,
248,train,0.575731,,,,,,,
249,train,0.368849,,,,,,,
250,train,0.317466,,,,,,,
251,train,0.485361,,,,,,,
252,train,0.387443,,,,,,,
253,train,0.454329,,,,,,,
254,train,0.317059,,,,,,,
255,train,0.355270,,,,,,,
256,train,0.372871,,,,,,,
257,train,0.399009,,,,,,,
258,train,0.588553,,,,,,,
259,train,0.448753,,,,,,,
259,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
260,train,0.297225,,,,,,,
261,train,0.436560,,,,,,,
262,train,0.371821,,,,,,,
263,train,0.320380,,,,,,,
264,train,0.388107,,,,,,,
265,train,0.355952,,,,,,,
266,train,0.390584,,,,,,,
267,train,0.414791,,,,,,,
268,train,0.400128,,,,,,,
269,train,0.463049,,,,,,,
270,train,0.605022,,,,,,,
271,train,0.556682,,,,,,,
272,train,0.447496,,,,,,,
273,train,0.399548,,,,,,,
274,train,0.353123,,,,,,,
275,train,0.481079,,,,,,,
276,train,0.457164,,,,,,,
277,train,0.504686,,,,,,,
278,train,0.519299,,,,,,,
279,train,0.486377,,,,,,,
279,eval,,0.0000,0.9999,0.0000,0.0000,0.0001,0.7999,
280,train,0.438361,,,,,,,
281,train,0.391189,,,,,,,
282,train,0.414268,,,,,,,
283,train,0.389332,,,,,,,
284,train,0.287540,,,,,,,
285,train,0.420692,,,,,,,
286,train,0.383472,,,,,,,
287,train,0.428264,,,,,,,
288,train,32.237473,,,,,,,
289,train,0.398657,,,,,,,
290,train,0.377721,,,,,,,
291,train,0.318578,,,,,,,
292,train,0.329155,,,,,,,
293,train,0.388935,,,,,,,
294,train,0.395533,,,,,,,
295,train,0.324127,,,,,,,
296,train,0.366369,,,,,,,
297,train,0.358914,,,,,,,
298,train,0.370716,,,,,,,
299,train,0.357139,,,,,,,
299,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
299,checkpoint,,,,,,,,saved result/checkpoints/goal5abl_asbs_c5_S1_sched_warmup_seed3/epoch_300.pt
