epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.883455,,,,,,,start
1,train,0.773062,,,,,,,
2,train,0.631607,,,,,,,
3,train,0.622213,,,,,,,
4,train,0.476416,,,,,,,
5,train,0.499815,,,,,,,
6,train,0.602536,,,,,,,
7,train,0.720791,,,,,,,
8,train,0.652321,,,,,,,
9,train,0.580460,,,,,,,
10,train,0.517062,,,,,,,
11,train,0.397366,,,,,,,
12,train,0.400540,,,,,,,
13,train,0.397198,,,,,,,
14,train,0.533332,,,,,,,
15,train,0.435527,,,,,,,
16,train,0.383977,,,,,,,
17,train,0.443883,,,,,,,
18,train,0.471589,,,,,,,
19,train,0.364717,,,,,,,
19,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
20,train,0.358770,,,,,,,
21,train,0.375600,,,,,,,
22,train,0.352355,,,,,,,
23,train,0.336523,,,,,,,
24,train,0.403698,,,,,,,
25,train,0.565982,,,,,,,
26,train,0.479325,,,,,,,
27,train,0.309046,,,,,,,
28,train,0.373999,,,,,,,
29,train,0.384805,,,,,,,
30,train,0.409296,,,,,,,
31,train,0.482645,,,,,,,
32,train,0.456182,,,,,,,
33,train,0.415825,,,,,,,
34,train,0.355047,,,,,,,
35,train,0.362198,,,,,,,
36,train,0.384525,,,,,,,
37,train,0.302570,,,,,,,
38,train,0.536436,,,,,,,
39,train,0.402591,,,,,,,
39,eval,,0.0000,0.0000,0.9999,0.0001,0.0000,0.7999,
40,train,0.391854,,,,,,,
41,train,0.450295,,,,,,,
42,train,0.407038,,,,,,,
43,train,0.419710,,,,,,,
44,train,0.409411,,,,,,,
45,train,0.512140,,,,,,,
46,train,0.358353,,,,,,,
47,train,0.403895,,,,,,,
48,train,0.364051,,,,,,,
49,train,0.489962,,,,,,,
50,train,0.648660,,,,,,,
51,train,0.553536,,,,,,,
52,train,0.502259,,,,,,,
53,train,0.440127,,,,,,,
54,train,0.385366,,,,,,,
55,train,0.327205,,,,,,,
56,train,0.388924,,,,,,,
57,train,0.424270,,,,,,,
58,train,0.542044,,,,,,,
59,train,0.318671,,,,,,,
59,eval,,0.0000,0.0000,0.9999,0.0001,0.0000,0.7999,
60,train,0.450720,,,,,,,
61,train,0.348018,,,,,,,
62,train,0.418958,,,,,,,
63,train,0.430630,,,,,,,
64,train,0.397056,,,,,,,
65,train,0.438532,,,,,,,
66,train,0.354442,,,,,,,
67,train,0.356291,,,,,,,
68,train,0.320447,,,,,,,
69,train,0.382085,,,,,,,
70,train,0.336954,,,,,,,
71,train,0.374798,,,,,,,
72,train,0.405454,,,,,,,
73,train,0.505225,,,,,,,
74,train,0.436981,,,,,,,
75,train,0.359260,,,,,,,
76,train,0.323905,,,,,,,
77,train,0.413021,,,,,,,
78,train,0.402157,,,,,,,
79,train,0.376706,,,,,,,
79,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
80,train,0.332084,,,,,,,
81,train,0.402909,,,,,,,
82,train,0.466370,,,,,,,
83,train,0.442523,,,,,,,
84,train,0.614749,,,,,,,
85,train,0.349274,,,,,,,
86,train,0.399398,,,,,,,
87,train,0.364821,,,,,,,
88,train,0.540130,,,,,,,
89,train,0.370486,,,,,,,
90,train,0.344088,,,,,,,
91,train,0.353082,,,,,,,
92,train,0.471228,,,,,,,
93,train,0.353490,,,,,,,
94,train,0.340841,,,,,,,
95,train,0.328450,,,,,,,
96,train,0.414172,,,,,,,
97,train,0.343192,,,,,,,
98,train,0.476184,,,,,,,
99,train,0.369903,,,,,,,
99,eval,,0.0000,0.0001,0.9999,0.0000,0.0000,0.7999,
100,train,0.444469,,,,,,,
101,train,0.401754,,,,,,,
102,train,0.335504,,,,,,,
103,train,0.400098,,,,,,,
104,train,0.424719,,,,,,,
105,train,0.318234,,,,,,,
106,train,0.309707,,,,,,,
107,train,0.390679,,,,,,,
108,train,0.304677,,,,,,,
109,train,0.362856,,,,,,,
110,train,0.334399,,,,,,,
111,train,0.406333,,,,,,,
112,train,0.341412,,,,,,,
113,train,0.252254,,,,,,,
114,train,0.388321,,,,,,,
115,train,0.339844,,,,,,,
116,train,0.274550,,,,,,,
117,train,0.294477,,,,,,,
118,train,0.428079,,,,,,,
119,train,0.328525,,,,,,,
119,eval,,0.0000,0.0001,0.9999,0.0000,0.0000,0.7999,
120,train,0.409918,,,,,,,
121,train,0.337027,,,,,,,
122,train,0.411057,,,,,,,
123,train,0.375464,,,,,,,
124,train,0.442823,,,,,,,
125,train,0.339473,,,,,,,
126,train,0.278355,,,,,,,
127,train,0.280028,,,,,,,
128,train,0.337797,,,,,,,
129,train,0.437797,,,,,,,
130,train,0.316981,,,,,,,
131,train,0.412173,,,,,,,
132,train,0.441678,,,,,,,
133,train,0.370723,,,,,,,
134,train,0.287153,,,,,,,
135,train,0.337737,,,,,,,
136,train,0.327561,,,,,,,
137,train,0.337324,,,,,,,
138,train,0.433553,,,,,,,
139,train,0.368681,,,,,,,
139,eval,,0.0001,0.0000,0.9999,0.0000,0.0000,0.7999,
140,train,0.375991,,,,,,,
141,train,0.361071,,,,,,,
142,train,0.381580,,,,,,,
143,train,0.352158,,,,,,,
144,train,0.470159,,,,,,,
145,train,0.316984,,,,,,,
146,train,0.439879,,,,,,,
147,train,0.407052,,,,,,,
148,train,0.323994,,,,,,,
149,train,0.308901,,,,,,,
150,train,0.349979,,,,,,,
151,train,0.365900,,,,,,,
152,train,0.430845,,,,,,,
153,train,0.367843,,,,,,,
154,train,0.303739,,,,,,,
155,train,0.338381,,,,,,,
156,train,0.344684,,,,,,,
157,train,0.319344,,,,,,,
158,train,0.346542,,,,,,,
159,train,0.325004,,,,,,,
159,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
160,train,0.507793,,,,,,,
161,train,0.410999,,,,,,,
162,train,0.348500,,,,,,,
163,train,0.448332,,,,,,,
164,train,0.420862,,,,,,,
165,train,0.469048,,,,,,,
166,train,0.261413,,,,,,,
167,train,0.259995,,,,,,,
168,train,0.268766,,,,,,,
169,train,0.393762,,,,,,,
170,train,0.447662,,,,,,,
171,train,0.390098,,,,,,,
172,train,0.415231,,,,,,,
173,train,0.297099,,,,,,,
174,train,0.310298,,,,,,,
175,train,0.358486,,,,,,,
176,train,0.349679,,,,,,,
177,train,0.343911,,,,,,,
178,train,0.400249,,,,,,,
179,train,0.277420,,,,,,,
179,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
180,train,0.436601,,,,,,,
181,train,0.351451,,,,,,,
182,train,0.363705,,,,,,,
183,train,0.336423,,,,,,,
184,train,0.341437,,,,,,,
185,train,0.286988,,,,,,,
186,train,0.412305,,,,,,,
187,train,0.457667,,,,,,,
188,train,0.424528,,,,,,,
189,train,0.394341,,,,,,,
190,train,0.397584,,,,,,,
191,train,0.420003,,,,,,,
192,train,0.432202,,,,,,,
193,train,0.412209,,,,,,,
194,train,0.387716,,,,,,,
195,train,0.278754,,,,,,,
196,train,0.505970,,,,,,,
197,train,0.413058,,,,,,,
198,train,0.351754,,,,,,,
199,train,0.318050,,,,,,,
199,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
200,train,0.323798,,,,,,,
201,train,0.371139,,,,,,,
202,train,0.420002,,,,,,,
203,train,0.317746,,,,,,,
204,train,0.365842,,,,,,,
205,train,0.377291,,,,,,,
206,train,0.271682,,,,,,,
207,train,0.348031,,,,,,,
208,train,0.327465,,,,,,,
209,train,0.333674,,,,,,,
210,train,0.479463,,,,,,,
211,train,0.343878,,,,,,,
212,train,0.375125,,,,,,,
213,train,0.378359,,,,,,,
214,train,0.643406,,,,,,,
215,train,0.371524,,,,,,,
216,train,0.384284,,,,,,,
217,train,0.310379,,,,,,,
218,train,0.382810,,,,,,,
219,train,0.319075,,,,,,,
219,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
220,train,0.456802,,,,,,,
221,train,0.469231,,,,,,,
222,train,0.558365,,,,,,,
223,train,0.403674,,,,,,,
224,train,0.320003,,,,,,,
225,train,0.331365,,,,,,,
226,train,0.434804,,,,,,,
227,train,0.325126,,,,,,,
228,train,0.401640,,,,,,,
229,train,0.305185,,,,,,,
230,train,0.407784,,,,,,,
231,train,0.355892,,,,,,,
232,train,0.322946,,,,,,,
233,train,0.438939,,,,,,,
234,train,0.400211,,,,,,,
235,train,0.307889,,,,,,,
236,train,0.353898,,,,,,,
237,train,0.325907,,,,,,,
238,train,0.358943,,,,,,,
239,train,0.338021,,,,,,,
239,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
240,train,0.397241,,,,,,,
241,train,0.359689,,,,,,,
242,train,0.498908,,,,,,,
243,train,0.291383,,,,,,,
244,train,0.322485,,,,,,,
245,train,0.449929,,,,,,,
246,train,0.323809,,,,,,,
247,train,0.369075,,,,,,,
248,train,0.359784,,,,,,,
249,train,0.382626,,,,,,,
250,train,0.308143,,,,,,,
251,train,0.383547,,,,,,,
252,train,0.303842,,,,,,,
253,train,0.370433,,,,,,,
254,train,0.337846,,,,,,,
255,train,0.301997,,,,,,,
256,train,0.429415,,,,,,,
257,train,0.424958,,,,,,,
258,train,0.316938,,,,,,,
259,train,0.318563,,,,,,,
259,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
260,train,0.358361,,,,,,,
261,train,0.337731,,,,,,,
262,train,0.359277,,,,,,,
263,train,0.321463,,,,,,,
264,train,0.480313,,,,,,,
265,train,0.375104,,,,,,,
266,train,0.356418,,,,,,,
267,train,0.420865,,,,,,,
268,train,0.324769,,,,,,,
