epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.794208,,,,,,,start
1,train,0.830747,,,,,,,
2,train,0.558392,,,,,,,
3,train,0.576300,,,,,,,
4,train,0.764725,,,,,,,
5,train,0.634324,,,,,,,
6,train,0.399998,,,,,,,
7,train,0.437471,,,,,,,
8,train,0.446262,,,,,,,
9,train,0.334864,,,,,,,
10,train,0.398954,,,,,,,
11,train,0.540428,,,,,,,
12,train,0.292164,,,,,,,
13,train,0.548292,,,,,,,
14,train,0.827728,,,,,,,
15,train,0.502263,,,,,,,
16,train,0.364695,,,,,,,
17,train,0.660682,,,,,,,
18,train,0.477199,,,,,,,
19,train,0.619800,,,,,,,
19,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8710,
20,train,0.810893,,,,,,,
21,train,0.577469,,,,,,,
22,train,0.540694,,,,,,,
23,train,0.537183,,,,,,,
24,train,0.582239,,,,,,,
25,train,0.732996,,,,,,,
26,train,0.748393,,,,,,,
27,train,0.534998,,,,,,,
28,train,0.763845,,,,,,,
29,train,1.047277,,,,,,,
30,train,0.800539,,,,,,,
31,train,0.599291,,,,,,,
32,train,0.838032,,,,,,,
33,train,0.639580,,,,,,,
34,train,0.685923,,,,,,,
35,train,0.815149,,,,,,,
36,train,0.389402,,,,,,,
37,train,0.795288,,,,,,,
38,train,0.968959,,,,,,,
39,train,0.792570,,,,,,,
39,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8710,
40,train,0.429454,,,,,,,
41,train,0.545003,,,,,,,
42,train,0.373333,,,,,,,
43,train,0.651420,,,,,,,
44,train,0.651184,,,,,,,
45,train,0.446287,,,,,,,
46,train,0.631181,,,,,,,
47,train,0.811487,,,,,,,
48,train,0.663756,,,,,,,
49,train,0.392835,,,,,,,
50,train,0.583650,,,,,,,
51,train,0.496645,,,,,,,
52,train,1.064385,,,,,,,
53,train,1.510609,,,,,,,
54,train,0.875618,,,,,,,
55,train,0.658683,,,,,,,
56,train,0.637154,,,,,,,
57,train,0.427153,,,,,,,
58,train,0.433079,,,,,,,
59,train,0.462975,,,,,,,
59,eval,,0.0000,0.0001,0.9999,0.0000,0.0000,0.8709,
60,train,0.369329,,,,,,,
61,train,0.531525,,,,,,,
62,train,0.421980,,,,,,,
63,train,0.425415,,,,,,,
64,train,0.433559,,,,,,,
65,train,0.453197,,,,,,,
66,train,0.524277,,,,,,,
67,train,944.120605,,,,,,,
68,train,0.839685,,,,,,,
69,train,0.445689,,,,,,,
70,train,0.515898,,,,,,,
71,train,0.624674,,,,,,,
72,train,0.539044,,,,,,,
73,train,0.793603,,,,,,,
74,train,0.764582,,,,,,,
75,train,0.556380,,,,,,,
76,train,0.515876,,,,,,,
77,train,0.577941,,,,,,,
78,train,0.445801,,,,,,,
79,train,0.818350,,,,,,,
79,eval,,0.0076,0.0076,0.9847,0.0001,0.0000,0.8557,
80,train,0.908532,,,,,,,
81,train,1.481532,,,,,,,
82,train,0.982961,,,,,,,
83,train,1.225384,,,,,,,
84,train,0.993244,,,,,,,
85,train,0.902630,,,,,,,
86,train,0.772912,,,,,,,
87,train,1.507505,,,,,,,
88,train,1.210551,,,,,,,
89,train,1.445012,,,,,,,
90,train,1.336418,,,,,,,
91,train,1.279137,,,,,,,
92,train,1.736578,,,,,,,
93,train,1.549474,,,,,,,
94,train,2.355707,,,,,,,
95,train,1.545520,,,,,,,
96,train,2.659817,,,,,,,
97,train,2.107825,,,,,,,
98,train,2.729882,,,,,,,
99,train,3.560318,,,,,,,
99,eval,,0.0373,0.2107,0.7116,0.0034,0.0370,0.5826,
100,train,3.325606,,,,,,,
101,train,3.205964,,,,,,,
102,train,4.395226,,,,,,,
103,train,4.410789,,,,,,,
104,train,3.365943,,,,,,,
105,train,3.783565,,,,,,,
106,train,2.982098,,,,,,,
107,train,2.292940,,,,,,,
108,train,2.889622,,,,,,,
109,train,1.530589,,,,,,,
110,train,1.231118,,,,,,,
111,train,1.130240,,,,,,,
112,train,1.145613,,,,,,,
113,train,1.628432,,,,,,,
114,train,1.027238,,,,,,,
115,train,1.529414,,,,,,,
116,train,1.650695,,,,,,,
117,train,1.264179,,,,,,,
118,train,1.620814,,,,,,,
119,train,1.735700,,,,,,,
119,eval,,0.6949,0.1465,0.0740,0.0006,0.0840,0.1788,
120,train,1.184732,,,,,,,
121,train,2.493874,,,,,,,
122,train,2.653790,,,,,,,
123,train,2.335072,,,,,,,
124,train,1.952051,,,,,,,
125,train,2.123233,,,,,,,
126,train,1.559384,,,,,,,
127,train,2.145942,,,,,,,
128,train,1.240023,,,,,,,
129,train,0.897806,,,,,,,
