epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.791739,,,,,,,start
1,train,16.961916,,,,,,,
2,train,12.621428,,,,,,,
3,train,4.678118,,,,,,,
4,train,0.921316,,,,,,,
5,train,3.339456,,,,,,,
6,train,3.865600,,,,,,,
7,train,1.713787,,,,,,,
8,train,0.774917,,,,,,,
9,train,0.960017,,,,,,,
10,train,1.122593,,,,,,,
11,train,0.856037,,,,,,,
12,train,0.618135,,,,,,,
13,train,0.682577,,,,,,,
14,train,0.733136,,,,,,,
15,train,0.632481,,,,,,,
16,train,0.513350,,,,,,,
17,train,0.485576,,,,,,,
18,train,0.486695,,,,,,,
19,train,0.361543,,,,,,,
19,eval,,0.0000,0.0000,0.0000,1.0000,0.0000,0.9355,
20,train,0.422127,,,,,,,
21,train,0.360613,,,,,,,
22,train,0.430221,,,,,,,
23,train,0.373855,,,,,,,
24,train,0.398673,,,,,,,
25,train,0.475853,,,,,,,
26,train,0.455800,,,,,,,
27,train,0.446446,,,,,,,
28,train,0.491086,,,,,,,
29,train,0.423512,,,,,,,
30,train,2329.863281,,,,,,,
31,train,110.657265,,,,,,,
32,train,0.898578,,,,,,,
33,train,1.026221,,,,,,,
34,train,0.762093,,,,,,,
35,train,0.595592,,,,,,,
36,train,0.584798,,,,,,,
37,train,0.625352,,,,,,,
38,train,0.536693,,,,,,,
39,train,0.386071,,,,,,,
39,eval,,0.0000,0.0001,0.0000,0.9999,0.0000,0.9354,
40,train,0.486154,,,,,,,
41,train,0.574791,,,,,,,
42,train,0.585850,,,,,,,
43,train,0.504075,,,,,,,
44,train,0.526439,,,,,,,
45,train,0.461298,,,,,,,
46,train,0.420515,,,,,,,
47,train,0.437724,,,,,,,
48,train,0.422880,,,,,,,
49,train,0.428907,,,,,,,
50,train,0.909121,,,,,,,
51,train,0.515994,,,,,,,
52,train,0.737319,,,,,,,
53,train,1.022740,,,,,,,
54,train,0.830795,,,,,,,
55,train,0.543084,,,,,,,
56,train,0.627927,,,,,,,
57,train,0.650903,,,,,,,
58,train,0.454266,,,,,,,
59,train,0.453312,,,,,,,
59,eval,,0.0000,0.0000,0.0000,1.0000,0.0000,0.9355,
60,train,0.459010,,,,,,,
61,train,0.375581,,,,,,,
62,train,0.541892,,,,,,,
63,train,0.724296,,,,,,,
64,train,0.476899,,,,,,,
65,train,0.450501,,,,,,,
66,train,0.490991,,,,,,,
67,train,0.440016,,,,,,,
68,train,0.466679,,,,,,,
69,train,0.448639,,,,,,,
70,train,0.339710,,,,,,,
71,train,0.414403,,,,,,,
72,train,0.409573,,,,,,,
73,train,0.353027,,,,,,,
74,train,0.406033,,,,,,,
75,train,0.394045,,,,,,,
76,train,0.390601,,,,,,,
77,train,0.457828,,,,,,,
78,train,0.434254,,,,,,,
79,train,0.389833,,,,,,,
79,eval,,0.0000,0.0000,0.0000,1.0000,0.0000,0.9355,
80,train,0.370903,,,,,,,
81,train,0.367856,,,,,,,
82,train,0.385884,,,,,,,
83,train,0.435162,,,,,,,
84,train,0.422440,,,,,,,
85,train,0.353441,,,,,,,
86,train,0.395476,,,,,,,
87,train,0.352389,,,,,,,
88,train,0.382102,,,,,,,
89,train,0.415735,,,,,,,
90,train,0.334187,,,,,,,
91,train,0.369772,,,,,,,
92,train,0.374343,,,,,,,
93,train,0.369126,,,,,,,
94,train,0.364592,,,,,,,
95,train,0.407028,,,,,,,
96,train,0.364897,,,,,,,
97,train,0.383103,,,,,,,
98,train,0.343013,,,,,,,
99,train,0.348198,,,,,,,
99,eval,,0.0000,0.0000,0.0000,1.0000,0.0000,0.9355,
100,train,0.409578,,,,,,,
101,train,0.377464,,,,,,,
102,train,0.425406,,,,,,,
103,train,0.355334,,,,,,,
104,train,0.334798,,,,,,,
105,train,0.362048,,,,,,,
106,train,0.351769,,,,,,,
107,train,0.421111,,,,,,,
108,train,0.426477,,,,,,,
109,train,0.408679,,,,,,,
110,train,0.385492,,,,,,,
111,train,0.341658,,,,,,,
112,train,0.338234,,,,,,,
113,train,0.344194,,,,,,,
114,train,0.385679,,,,,,,
115,train,0.356224,,,,,,,
116,train,0.365799,,,,,,,
117,train,0.433867,,,,,,,
118,train,0.417671,,,,,,,
119,train,0.341100,,,,,,,
119,eval,,0.0000,0.0000,0.0000,1.0000,0.0000,0.9355,
120,train,0.466895,,,,,,,
121,train,0.394848,,,,,,,
122,train,0.297331,,,,,,,
123,train,0.382390,,,,,,,
124,train,0.365345,,,,,,,
125,train,0.378974,,,,,,,
126,train,0.378038,,,,,,,
127,train,0.380269,,,,,,,
128,train,0.437620,,,,,,,
129,train,0.351082,,,,,,,
130,train,0.343908,,,,,,,
131,train,0.393137,,,,,,,
132,train,0.371738,,,,,,,
133,train,0.349829,,,,,,,
134,train,0.381037,,,,,,,
135,train,0.404492,,,,,,,
136,train,0.375780,,,,,,,
137,train,0.368241,,,,,,,
138,train,0.356652,,,,,,,
139,train,0.404605,,,,,,,
139,eval,,0.0000,0.0001,0.0002,0.9997,0.0000,0.9352,
140,train,0.348658,,,,,,,
141,train,0.381102,,,,,,,
142,train,0.376134,,,,,,,
143,train,0.366915,,,,,,,
144,train,0.356003,,,,,,,
145,train,0.338595,,,,,,,
146,train,0.388406,,,,,,,
147,train,0.392751,,,,,,,
148,train,0.414017,,,,,,,
149,train,0.368559,,,,,,,
150,train,0.369312,,,,,,,
151,train,0.424949,,,,,,,
152,train,0.341485,,,,,,,
153,train,0.350645,,,,,,,
154,train,0.366796,,,,,,,
155,train,0.396742,,,,,,,
156,train,0.381431,,,,,,,
157,train,0.331156,,,,,,,
158,train,0.379076,,,,,,,
159,train,0.435356,,,,,,,
159,eval,,0.0000,0.0000,0.0001,0.9999,0.0000,0.9354,
160,train,0.389302,,,,,,,
161,train,0.385137,,,,,,,
162,train,0.410673,,,,,,,
163,train,0.370123,,,,,,,
164,train,0.365712,,,,,,,
165,train,0.375016,,,,,,,
166,train,0.372815,,,,,,,
167,train,0.358957,,,,,,,
168,train,0.337332,,,,,,,
169,train,0.378484,,,,,,,
170,train,0.337706,,,,,,,
171,train,0.343175,,,,,,,
172,train,0.329867,,,,,,,
173,train,0.344874,,,,,,,
174,train,0.363595,,,,,,,
175,train,0.343191,,,,,,,
176,train,0.392643,,,,,,,
177,train,0.332763,,,,,,,
178,train,0.392694,,,,,,,
179,train,0.350709,,,,,,,
179,eval,,0.0001,0.0000,0.0000,0.9998,0.0001,0.9353,
180,train,0.380756,,,,,,,
181,train,0.418645,,,,,,,
182,train,0.378575,,,,,,,
183,train,0.363370,,,,,,,
184,train,0.365710,,,,,,,
185,train,0.374112,,,,,,,
186,train,0.383600,,,,,,,
187,train,0.369545,,,,,,,
188,train,0.375103,,,,,,,
189,train,0.369292,,,,,,,
190,train,0.434133,,,,,,,
191,train,0.357251,,,,,,,
192,train,0.389416,,,,,,,
193,train,0.430376,,,,,,,
194,train,0.345549,,,,,,,
195,train,0.388634,,,,,,,
196,train,0.380446,,,,,,,
197,train,0.365452,,,,,,,
198,train,0.397357,,,,,,,
199,train,0.358608,,,,,,,
199,eval,,0.0006,0.0004,0.0001,0.9987,0.0002,0.9342,
200,train,0.339865,,,,,,,
201,train,0.470650,,,,,,,
202,train,0.357023,,,,,,,
203,train,0.374319,,,,,,,
204,train,0.518912,,,,,,,
205,train,0.418377,,,,,,,
206,train,0.691451,,,,,,,
207,train,0.726338,,,,,,,
208,train,0.444713,,,,,,,
209,train,0.603305,,,,,,,
210,train,0.608939,,,,,,,
211,train,1.843518,,,,,,,
212,train,1.105137,,,,,,,
213,train,1.107855,,,,,,,
214,train,1.210233,,,,,,,
215,train,1.718368,,,,,,,
216,train,2.077748,,,,,,,
217,train,2.344173,,,,,,,
218,train,2.642103,,,,,,,
219,train,5.821840,,,,,,,
219,eval,,0.0600,0.4909,0.0001,0.4486,0.0004,0.4561,
220,train,5.127642,,,,,,,
221,train,5.664262,,,,,,,
222,train,5.145118,,,,,,,
223,train,4.742190,,,,,,,
224,train,4.159266,,,,,,,
225,train,2.717330,,,,,,,
226,train,1.642556,,,,,,,
227,train,1.377976,,,,,,,
228,train,1.070065,,,,,,,
229,train,1.078150,,,,,,,
230,train,1.575467,,,,,,,
231,train,1.139672,,,,,,,
232,train,0.964188,,,,,,,
233,train,0.967756,,,,,,,
234,train,1.396053,,,,,,,
235,train,0.949093,,,,,,,
236,train,0.554408,,,,,,,
237,train,0.788532,,,,,,,
238,train,0.564952,,,,,,,
239,train,0.504212,,,,,,,
239,eval,,0.0015,0.3561,0.0002,0.6417,0.0005,0.5772,
240,train,0.573038,,,,,,,
241,train,0.639990,,,,,,,
242,train,0.557714,,,,,,,
243,train,0.552770,,,,,,,
244,train,0.531118,,,,,,,
245,train,0.470108,,,,,,,
246,train,0.545746,,,,,,,
247,train,0.460829,,,,,,,
248,train,0.467925,,,,,,,
249,train,0.507932,,,,,,,
250,train,0.374500,,,,,,,
251,train,0.479032,,,,,,,
252,train,0.617387,,,,,,,
253,train,0.540202,,,,,,,
254,train,0.507729,,,,,,,
255,train,0.712250,,,,,,,
256,train,0.835165,,,,,,,
257,train,0.668627,,,,,,,
258,train,0.969240,,,,,,,
259,train,1.260377,,,,,,,
259,eval,,0.0237,0.2236,0.0003,0.7460,0.0064,0.6815,
260,train,1.468272,,,,,,,
261,train,1.309076,,,,,,,
262,train,1.096783,,,,,,,
263,train,0.625088,,,,,,,
264,train,0.695987,,,,,,,
265,train,0.691199,,,,,,,
266,train,0.802435,,,,,,,
267,train,0.549929,,,,,,,
268,train,0.579964,,,,,,,
269,train,0.485123,,,,,,,
270,train,0.587796,,,,,,,
271,train,0.680321,,,,,,,
272,train,0.556419,,,,,,,
273,train,0.613810,,,,,,,
274,train,0.614179,,,,,,,
275,train,0.534209,,,,,,,
276,train,0.515640,,,,,,,
277,train,0.682889,,,,,,,
278,train,0.491304,,,,,,,
279,train,0.636263,,,,,,,
279,eval,,0.0051,0.3091,0.0020,0.6821,0.0017,0.6176,
280,train,0.434459,,,,,,,
281,train,0.573239,,,,,,,
282,train,0.653458,,,,,,,
283,train,0.640594,,,,,,,
284,train,0.727533,,,,,,,
285,train,0.823352,,,,,,,
286,train,0.787078,,,,,,,
287,train,0.655520,,,,,,,
288,train,0.786473,,,,,,,
289,train,0.666492,,,,,,,
290,train,0.923400,,,,,,,
291,train,1.099904,,,,,,,
292,train,1.081687,,,,,,,
293,train,0.960896,,,,,,,
294,train,0.889344,,,,,,,
295,train,0.889133,,,,,,,
296,train,0.870544,,,,,,,
297,train,0.735896,,,,,,,
298,train,0.792289,,,,,,,
299,train,0.934942,,,,,,,
299,eval,,0.0614,0.1171,0.0236,0.7528,0.0451,0.6883,
299,checkpoint,,,,,,,,saved result/checkpoints/goal5abl_asbs_w5_S3_bs1024_seed1/epoch_300.pt
