epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.724066,,,,,,,start
1,train,0.760313,,,,,,,
2,train,0.560218,,,,,,,
3,train,0.550647,,,,,,,
4,train,0.466360,,,,,,,
5,train,0.587584,,,,,,,
6,train,0.962669,,,,,,,
7,train,0.596882,,,,,,,
8,train,0.811233,,,,,,,
9,train,0.500485,,,,,,,
10,train,0.542717,,,,,,,
11,train,0.363356,,,,,,,
12,train,0.497164,,,,,,,
13,train,0.464833,,,,,,,
14,train,0.484122,,,,,,,
15,train,0.685610,,,,,,,
16,train,0.410005,,,,,,,
17,train,0.409960,,,,,,,
18,train,0.444297,,,,,,,
19,train,0.530941,,,,,,,
19,eval,,0.0000,0.0000,0.0002,0.9997,0.0001,0.9352,
20,train,0.377529,,,,,,,
21,train,0.490374,,,,,,,
22,train,0.366979,,,,,,,
23,train,0.630053,,,,,,,
24,train,0.371573,,,,,,,
25,train,0.714317,,,,,,,
26,train,0.411649,,,,,,,
27,train,0.500325,,,,,,,
28,train,0.682763,,,,,,,
29,train,0.398918,,,,,,,
30,train,0.461669,,,,,,,
31,train,0.507146,,,,,,,
32,train,0.460930,,,,,,,
33,train,0.375023,,,,,,,
34,train,0.436780,,,,,,,
35,train,0.443358,,,,,,,
36,train,0.301674,,,,,,,
37,train,0.339819,,,,,,,
38,train,0.640936,,,,,,,
39,train,0.623304,,,,,,,
39,eval,,0.0000,0.0001,0.0002,0.9997,0.0000,0.9352,
40,train,0.342856,,,,,,,
41,train,0.616455,,,,,,,
42,train,0.366941,,,,,,,
43,train,0.308753,,,,,,,
44,train,0.650285,,,,,,,
45,train,0.702690,,,,,,,
46,train,0.452786,,,,,,,
47,train,0.364059,,,,,,,
48,train,0.425359,,,,,,,
49,train,0.608618,,,,,,,
50,train,0.692081,,,,,,,
51,train,0.476988,,,,,,,
52,train,0.951512,,,,,,,
53,train,0.306829,,,,,,,
54,train,0.370941,,,,,,,
55,train,0.360035,,,,,,,
56,train,0.419457,,,,,,,
57,train,0.417104,,,,,,,
58,train,0.440407,,,,,,,
59,train,0.458396,,,,,,,
59,eval,,0.0000,0.0000,0.0001,0.9997,0.0002,0.9352,
60,train,0.525903,,,,,,,
61,train,0.403028,,,,,,,
62,train,0.396901,,,,,,,
63,train,0.349309,,,,,,,
64,train,0.302619,,,,,,,
65,train,0.350764,,,,,,,
66,train,0.334296,,,,,,,
67,train,0.416962,,,,,,,
68,train,0.510579,,,,,,,
69,train,0.445253,,,,,,,
70,train,0.507910,,,,,,,
71,train,0.406250,,,,,,,
72,train,0.445257,,,,,,,
73,train,0.455699,,,,,,,
74,train,0.438316,,,,,,,
75,train,0.435757,,,,,,,
76,train,0.380557,,,,,,,
77,train,0.382556,,,,,,,
78,train,0.663285,,,,,,,
79,train,0.436970,,,,,,,
