epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.724066,,,,,,,start
1,train,0.760313,,,,,,,
2,train,0.606329,,,,,,,
3,train,0.615439,,,,,,,
4,train,0.560759,,,,,,,
5,train,0.583469,,,,,,,
6,train,0.850666,,,,,,,
7,train,0.478771,,,,,,,
8,train,0.620877,,,,,,,
9,train,0.413038,,,,,,,
10,train,0.482121,,,,,,,
11,train,0.353855,,,,,,,
12,train,0.515856,,,,,,,
13,train,0.461719,,,,,,,
14,train,0.458375,,,,,,,
15,train,0.654629,,,,,,,
16,train,0.399343,,,,,,,
17,train,0.433698,,,,,,,
18,train,0.434671,,,,,,,
19,train,0.506531,,,,,,,
19,eval,,0.0000,0.0000,0.0002,0.9997,0.0001,0.9352,
20,train,0.373576,,,,,,,
21,train,0.508895,,,,,,,
22,train,0.382176,,,,,,,
23,train,0.636473,,,,,,,
24,train,0.396981,,,,,,,
25,train,0.735586,,,,,,,
26,train,0.436982,,,,,,,
27,train,0.519417,,,,,,,
28,train,0.685529,,,,,,,
29,train,0.429697,,,,,,,
30,train,0.494640,,,,,,,
31,train,0.528892,,,,,,,
32,train,0.487091,,,,,,,
33,train,0.392172,,,,,,,
34,train,0.467392,,,,,,,
35,train,0.463577,,,,,,,
36,train,0.318795,,,,,,,
37,train,0.352765,,,,,,,
38,train,0.635824,,,,,,,
39,train,0.681486,,,,,,,
39,eval,,0.0001,0.0000,0.0003,0.9996,0.0000,0.9351,
40,train,0.363218,,,,,,,
41,train,0.644167,,,,,,,
42,train,0.381860,,,,,,,
43,train,0.319742,,,,,,,
44,train,0.654675,,,,,,,
45,train,0.719692,,,,,,,
46,train,0.476005,,,,,,,
47,train,0.384644,,,,,,,
48,train,0.448709,,,,,,,
49,train,0.637909,,,,,,,
50,train,0.800695,,,,,,,
51,train,0.553907,,,,,,,
52,train,1.135104,,,,,,,
53,train,0.423127,,,,,,,
54,train,0.507484,,,,,,,
55,train,0.471171,,,,,,,
56,train,0.456073,,,,,,,
57,train,0.389197,,,,,,,
58,train,0.386739,,,,,,,
59,train,0.455588,,,,,,,
59,eval,,0.0000,0.0000,0.0002,0.9995,0.0003,0.9350,
60,train,0.677964,,,,,,,
61,train,0.443639,,,,,,,
62,train,0.375833,,,,,,,
63,train,0.365439,,,,,,,
64,train,0.301634,,,,,,,
65,train,0.372906,,,,,,,
66,train,0.333158,,,,,,,
67,train,0.382068,,,,,,,
68,train,0.444462,,,,,,,
69,train,0.463479,,,,,,,
70,train,0.505906,,,,,,,
71,train,0.425259,,,,,,,
72,train,0.462654,,,,,,,
73,train,0.447077,,,,,,,
74,train,0.434749,,,,,,,
75,train,0.451621,,,,,,,
76,train,0.361599,,,,,,,
77,train,0.349110,,,,,,,
78,train,0.681414,,,,,,,
79,train,0.403968,,,,,,,
