epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,1.096549,,,,,,,start
1,train,15.655175,,,,,,,
2,train,12.034468,,,,,,,
3,train,4.764531,,,,,,,
4,train,0.871740,,,,,,,
5,train,2.383390,,,,,,,
6,train,1.814409,,,,,,,
7,train,0.472861,,,,,,,
8,train,1.439637,,,,,,,
9,train,2.167591,,,,,,,
10,train,1.614210,,,,,,,
11,train,0.611172,,,,,,,
12,train,1.047605,,,,,,,
13,train,2.171869,,,,,,,
14,train,1.794409,,,,,,,
15,train,0.937042,,,,,,,
16,train,0.744311,,,,,,,
17,train,0.898574,,,,,,,
18,train,0.730245,,,,,,,
19,train,0.391412,,,,,,,
19,eval,,0.0000,0.0000,0.0000,0.0000,1.0000,0.9677,
20,train,0.455468,,,,,,,
21,train,0.363373,,,,,,,
22,train,0.728157,,,,,,,
23,train,0.714285,,,,,,,
24,train,0.639496,,,,,,,
25,train,0.408512,,,,,,,
26,train,0.625105,,,,,,,
27,train,0.494804,,,,,,,
28,train,0.403594,,,,,,,
29,train,0.504228,,,,,,,
30,train,0.496124,,,,,,,
31,train,0.611538,,,,,,,
32,train,0.433217,,,,,,,
33,train,0.408888,,,,,,,
34,train,0.430358,,,,,,,
35,train,0.364811,,,,,,,
36,train,0.493105,,,,,,,
37,train,0.434349,,,,,,,
38,train,0.377908,,,,,,,
39,train,0.325410,,,,,,,
39,eval,,0.0000,0.0000,0.0000,0.0000,1.0000,0.9677,
40,train,0.554887,,,,,,,
41,train,0.476124,,,,,,,
42,train,0.615117,,,,,,,
43,train,0.677101,,,,,,,
44,train,0.393827,,,,,,,
45,train,0.416434,,,,,,,
46,train,0.409283,,,,,,,
47,train,0.389262,,,,,,,
48,train,0.596064,,,,,,,
49,train,0.542181,,,,,,,
50,train,0.815971,,,,,,,
51,train,0.858957,,,,,,,
52,train,0.450913,,,,,,,
53,train,0.508464,,,,,,,
54,train,0.630165,,,,,,,
55,train,0.476024,,,,,,,
56,train,0.358591,,,,,,,
57,train,0.440165,,,,,,,
58,train,0.411011,,,,,,,
59,train,0.377883,,,,,,,
59,eval,,0.0000,0.0000,0.0000,0.0000,1.0000,0.9677,
60,train,0.400003,,,,,,,
61,train,0.508099,,,,,,,
62,train,0.341584,,,,,,,
63,train,0.486849,,,,,,,
64,train,0.480757,,,,,,,
65,train,0.393167,,,,,,,
66,train,0.458248,,,,,,,
67,train,0.367141,,,,,,,
68,train,0.386056,,,,,,,
69,train,0.387683,,,,,,,
70,train,0.402497,,,,,,,
71,train,0.342426,,,,,,,
72,train,0.368676,,,,,,,
73,train,0.377161,,,,,,,
74,train,0.435658,,,,,,,
75,train,0.415609,,,,,,,
76,train,0.419227,,,,,,,
77,train,0.353118,,,,,,,
78,train,0.363294,,,,,,,
79,train,0.389064,,,,,,,
79,eval,,0.0000,0.0001,0.0000,0.0000,0.9999,0.9676,
80,train,0.368199,,,,,,,
81,train,0.411772,,,,,,,
82,train,0.341404,,,,,,,
83,train,0.420638,,,,,,,
84,train,0.344196,,,,,,,
85,train,0.347205,,,,,,,
86,train,0.388102,,,,,,,
87,train,0.376667,,,,,,,
88,train,0.368734,,,,,,,
89,train,0.407836,,,,,,,
90,train,0.421212,,,,,,,
91,train,0.396012,,,,,,,
92,train,0.418867,,,,,,,
93,train,0.431167,,,,,,,
94,train,2.762300,,,,,,,
95,train,0.445669,,,,,,,
96,train,0.297445,,,,,,,
97,train,0.324037,,,,,,,
98,train,0.293522,,,,,,,
99,train,0.311538,,,,,,,
99,eval,,0.0000,0.0000,0.0000,0.0000,1.0000,0.9677,
100,train,0.539161,,,,,,,
101,train,0.311641,,,,,,,
102,train,0.420796,,,,,,,
103,train,0.366174,,,,,,,
104,train,0.359089,,,,,,,
105,train,0.335780,,,,,,,
106,train,0.336478,,,,,,,
107,train,0.427620,,,,,,,
108,train,0.350079,,,,,,,
109,train,0.471261,,,,,,,
110,train,0.379891,,,,,,,
111,train,0.328281,,,,,,,
112,train,0.249120,,,,,,,
